City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description,Rain (last 3 hrs),Snow (last 3 hrs),Date
228,Kingston,18.0,-76.79,86.0,70,40,19.46,JM,scattered clouds,0.0,0.0,2020-05-30 21:27:08
229,Kingston,18.0,-76.79,86.0,70,40,19.46,JM,,,,2020-05-30 21:27:08
230,Thompson,55.74,-97.86,68.0,15,20,9.17,CA,few clouds,0.0,0.0,2020-05-30 21:19:40
231,Thompson,55.74,-97.86,68.0,15,20,9.17,CA,,,,2020-05-30 21:19:40
232,Salalah,17.02,54.09,77.0,100,75,2.24,OM,light rain,0.0,0.0,2020-05-30 21:19:46
233,Salalah,17.02,54.09,77.0,100,75,2.24,OM,,,,2020-05-30 21:19:46
234,Nikolskoye,59.7,30.79,59.0,41,0,8.95,RU,clear sky,0.0,0.0,2020-05-30 21:17:10
235,Nikolskoye,59.7,30.79,59.0,41,0,8.95,RU,,,,2020-05-30 21:17:10
236,Saskylakh,71.92,114.08,39.43,75,81,4.03,RU,broken clouds,0.0,0.0,2020-05-30 21:19:42
237,Saskylakh,71.92,114.08,39.43,75,81,4.03,RU,,,,2020-05-30 21:19:42
238,Bardiyah,31.76,25.09,67.93,69,0,17.85,LY,clear sky,0.0,0.0,2020-05-30 21:28:01
239,Bardiyah,31.76,25.09,67.93,69,0,17.85,LY,,,,2020-05-30 21:28:01
240,Okmulgee,35.62,-95.96,82.4,37,1,5.61,US,clear sky,0.0,0.0,2020-05-30 21:28:01
241,Okmulgee,35.62,-95.96,82.4,37,1,5.61,US,,,,2020-05-30 21:28:01
242,Sangueya,10.7,-14.37,78.98,83,100,3.6,GN,overcast clouds,0.0,0.0,2020-05-30 21:28:01
243,Sangueya,10.7,-14.37,78.98,83,100,3.6,GN,,,,2020-05-30 21:28:01
244,San Cristobal,7.77,-72.22,89.6,49,40,9.17,VE,scattered clouds,0.0,0.0,2020-05-30 21:16:44
245,San Cristobal,7.77,-72.22,89.6,49,40,9.17,VE,,,,2020-05-30 21:16:44
246,Mahebourg,-20.41,57.7,69.8,94,20,3.36,MU,few clouds,0.0,0.0,2020-05-30 21:19:39
247,Mahebourg,-20.41,57.7,69.8,94,20,3.36,MU,,,,2020-05-30 21:19:39
248,Esso,55.93,158.7,36.57,82,75,3.67,RU,broken clouds,0.0,0.0,2020-05-30 21:28:02
249,Esso,55.93,158.7,36.57,82,75,3.67,RU,,,,2020-05-30 21:28:02
250,Dingle,11.0,122.67,77.83,86,14,6.33,PH,few clouds,0.0,0.0,2020-05-30 21:20:12
251,Dingle,11.0,122.67,77.83,86,14,6.33,PH,,,,2020-05-30 21:20:12
